variant,jur,analytic_candidate_mass,analytic_contributions,documents,privacy_family_share,privacy_posture,state_privacy_raw,raw_cash_substitution,raw_financial_inclusion,raw_sovereignty_competition,raw_payment_modernization,raw_monetary_transmission,raw_state_control,score_cash_substitution,score_financial_inclusion,score_sovereignty_competition,score_payment_modernization,score_monetary_transmission,score_state_control,state_privacy_score,score_cash_substitution_ungated,dominant_centre,dominant_score,second_score,mixed_case,iso3,country,cluster,is_composite
claude,ES,12,12,3,0.166666666667,0.125,0,0.0909090909091,0.0606060606061,0.218181818182,0.390909090909,0,0.242424242424,0.272772659709,0.500592619674,0.95,0.730265805726,0.05,0.828462717404,0.403610441696,0.445454545455,sovereignty_competition,0.95,0.828462717404,False,ESP,Spain,sovereignty_competition,False
claude,EU,128,128,3,0.4375,0.234375,1,0.30303030303,0.179393939394,0.0220202020202,0.356363636364,0.241818181818,0.0993939393939,0.82794561109,0.704358968528,0.310703463203,0.629558785351,0.693856350414,0.412223140496,0.95,0.85575773756,cash_substitution,0.82794561109,0.704358968528,False,EMU,Euro Area,sovereignty_competition,False
claude,FR,14,14,2,0.5,0.0357142857143,0,0.3,0.0428571428571,0.157142857143,0.478571428571,0.109523809524,0,0.520712874893,0.370038610039,0.95,0.95,0.516593317335,0.05,0.403610441696,0.850356180288,sovereignty_competition,0.95,0.95,True,FRA,France,,False
claude,GH,134,135,2,0.354838709677,0.0233208955224,0.141304347826,0.114801444043,0.211371841155,0.0169675090253,0.388086642599,0.104151624549,0.32238267148,0.340896469601,0.759213220934,0.25088318721,0.722037795321,0.509395053445,0.95,0.469648083749,0.520237180089,state_control,0.95,0.759213220934,False,GHA,Ghana,financial_inclusion,False
claude,HK,163,164,4,0.526315789474,0.0686349693252,0.407894736842,0.136639676113,0.00647773279352,0.0429149797571,0.334615384615,0.113765182186,0.167611336032,0.418985531047,0.0983729073203,0.518830984159,0.566158211795,0.522276390391,0.621868208596,0.614318276005,0.559164132299,state_control,0.621868208596,0.566158211795,True,HKG,Hong Kong,sovereignty_competition,False
claude,HU,80,81,1,0.0943396226415,-0.0375,-0.6,0.0122994652406,0.202139037433,0.0122994652406,0.348663101604,0.126203208556,0.208021390374,0.0445147295907,0.743375454293,0.195616883117,0.607110161614,0.538942271498,0.73345985408,0.123204453904,0.103502673797,financial_inclusion,0.743375454293,0.73345985408,True,HUN,Hungary,sovereignty_competition,False
claude,ID,244,245,3,0.277777777778,-0.0199795081967,-0.333333333333,0.0787996127783,0.051403678606,0.0553727008712,0.370280735721,0.106292352372,0.076669893514,0.20074470375,0.433860443212,0.56664885962,0.67012995823,0.512263443841,0.329409486931,0.247829337367,0.392778315586,payment_modernization,0.67012995823,0.56664885962,False,IDN,Indonesia,monetary_transmission,False
claude,IL,526,529,2,0.467966573816,0.177756653992,0.655133928571,0.107002938296,0.0545543584721,0.0201762977473,0.418707149853,0.118952007835,0.281194906954,0.425532817708,0.457388357996,0.288872953687,0.811302796707,0.529226288793,0.935527217114,0.754485376828,0.506336235197,state_control,0.935527217114,0.811302796707,False,ISR,Israel,sovereignty_competition,False
claude,IN,121,121,2,0.366666666667,0.051652892562,0.439655172414,0.257142857143,0.113533834586,0.050626566416,0.298997493734,0.050626566416,0.153884711779,0.588993936298,0.591383863419,0.548431236652,0.477479367884,0.257198380415,0.583962380151,0.632324192235,0.773962727444,financial_inclusion,0.591383863419,0.588993936298,True,IND,India,monetary_transmission,False
claude,IS,16,17,1,0.444444444444,0.046875,0.375,0.262857142857,0,0.0171428571429,0.225714285714,0.32,0.382857142857,0.578062558441,0.05,0.252959183673,0.349777112909,0.798613234491,0.95,0.595669291339,0.784148521156,state_control,0.95,0.798613234491,False,ISL,Iceland,cash_substitution,False
