jur,n_segs,n_docs,raw_cash_substitution,raw_financial_inclusion,raw_sovereignty_competition,raw_payment_modernization,raw_monetary_transmission,raw_state_control,fz_cash_substitution,fz_financial_inclusion,fz_sovereignty_competition,fz_payment_modernization,fz_monetary_transmission,fz_state_control,state_privacy_raw,state_privacy_fz,fz_cash_substitution_ungated,dominant_centre,dominant_score,second_score,mixed_case,iso3,country,cluster,is_composite,vocab,net_privacy_posture
PY,6,1,0.3230769230769231,0.0,0.1769230769230769,0.14615384615384613,0.0,1.3846153846153846,0.29842311119129683,0.05,0.8120161895581615,0.05,0.05,0.95,-1.0,0.05,0.7801911403694036,state_control,0.95,0.8120161895581615,False,PRY,Banco Central del Paraguay (2024 design paper) — composite,financial_inclusion,False,0.0,-0.5
RU,263,3,0.1379881656804734,0.0888757396449704,0.032781065088757395,0.2778698224852071,0.09727810650887574,0.2866272189349112,0.3152688584084184,0.5115238488867904,0.25693921028996763,0.3110571184499714,0.32209191466055687,0.5727897989343389,-0.3388888888888889,0.4912568306010929,0.4710307473465368,state_control,0.5727897989343389,0.5115238488867904,True,RUS,Russian Federation,state_control,False,0.3026315789473684,-0.12523764258555134
RW,4,1,0.16666666666666666,0.09999999999999999,0.09999999999999999,0.45,0.3333333333333333,0.9666666666666667,0.20295894338383605,0.5261151000102109,0.584815488035145,0.7728715843780622,0.7709405003188252,0.95,-1.0,0.05,0.5306116166897675,state_control,0.95,0.7728715843780622,False,RWA,Rwanda,financial_inclusion,False,0.5,-0.265625
SE,92,1,0.34615384615384615,0.04759615384615385,0.08701923076923077,0.3326923076923076,0.18173076923076922,0.07980769230769232,0.3758033665083681,0.3174273633998266,0.546475369653136,0.5020721810450567,0.5327534512380552,0.1389821548617431,-0.8214285714285714,0.16918701906992306,0.8170143487811532,sovereignty_competition,0.546475369653136,0.5327534512380552,True,SWE,Sweden,cash_substitution,False,0.041666666666666664,-0.08084239130434782
SG,139,2,0.023979591836734693,0.056377551020408166,0.05892857142857142,0.2767857142857143,0.024489795918367346,0.47602040816326535,0.052200305714119044,0.3667671882282835,0.4220023129793544,0.30725859923303367,0.11849923071299585,0.7099901140714695,-0.9047619047619048,0.11356641017062562,0.12316674891862861,state_control,0.7099901140714695,0.4220023129793544,False,SGP,Singapore,sovereignty_competition,False,0.061224489795918366,-0.1506294964028777
SZ,111,1,0.3841095890410959,0.16301369863013698,0.0558904109589041,0.3441095890410959,0.1871232876712329,0.19835616438356166,0.5944401856579784,0.6087676694021316,0.4028231152740677,0.5284284490451747,0.5412257885105218,0.508844434524588,-0.32,0.5036361781359996,0.8775792787807521,financial_inclusion,0.6087676694021316,0.5944401856579784,True,SWZ,Eswatini,financial_inclusion,False,0.5094339622641509,-0.05405405405405406
TH,40,1,0.17966101694915254,0.041525423728813564,0.010169491525423728,0.37372881355932197,0.311864406779661,0.16440677966101697,0.39944882569380213,0.28331789828548476,0.11419762566053575,0.5968030642893618,0.737210066450362,0.42619228831469547,-0.20454545454545456,0.576149383443165,0.5513463423302819,monetary_transmission,0.737210066450362,0.5968030642893618,False,THA,Thailand,monetary_transmission,False,0.13043478260869565,-0.03125
TR,130,1,0.17900943396226415,0.04504716981132075,0.07429245283018868,0.36910377358490565,0.02358490566037736,0.23349056603773585,0.5324216639105599,0.30310544818821017,0.5088854422667218,0.5861263725837735,0.11596820567878925,0.5342965165067713,0.44722222222222224,0.95,0.5503066293649198,payment_modernization,0.5861263725837735,0.5342965165067713,True,TUR,Turkey,financial_inclusion,False,0.38461538461538464,0.25721153846153844
TT,13,1,0.08695652173913043,0.0,0.0,0.33043478260869563,1.7826086956521738,0.4869565217391304,0.12061086801904874,0.05,0.05,0.4952352394715211,0.95,0.7179124592999193,-1.0,0.05,0.31532253076875494,monetary_transmission,0.95,0.7179124592999193,False,TTO,Trinidad and Tobago,monetary_transmission,False,0.3333333333333333,-0.17307692307692307
UA,113,2,0.1,0.03844086021505377,0.10940860215053762,0.2682795698924731,0.15833333333333335,0.20403225806451614,0.1854181828543905,0.26598673555350394,0.6126048211515355,0.2774546064628555,0.49286655412360525,0.5129563133357942,-0.6781609195402298,0.2648106274731487,0.35512091038406823,sovereignty_competition,0.6126048211515355,0.5129563133357942,True,UKR,Ukraine,financial_inclusion,False,0.22666666666666666,-0.24225663716814158
UK,334,2,0.14111888111888113,0.06111888111888112,0.04083916083916084,0.38083916083916075,0.19230769230769232,0.1365034965034965,0.41060683931761227,0.3934071854713659,0.30780808738454773,0.613216973411539,0.5493711523367135,0.33146188482965094,0.11363636363636363,0.7759889256282666,0.4805832147937411,payment_modernization,0.613216973411539,0.5493711523367135,True,GBR,United Kingdom,sovereignty_competition,False,0.36046511627906974,0.03817365269461078
UN,67,2,0.09655172413793103,0.028275862068965516,0.2372413793103448,0.3503448275862069,0.22620689655172413,0.4441379310344828,0.20897127259684578,0.20887290526462704,0.95,0.5428222099694469,0.602631144823448,0.6868937929881005,-0.4838709677419355,0.394488932537584,0.3445994996811693,sovereignty_competition,0.95,0.6868937929881005,False,UNI,International / cross-border bodies (UN-system),monetary_transmission,True,0.26666666666666666,-0.11007462686567164
US,203,3,0.12073170731707317,0.12317073170731707,0.07048780487804877,0.2841463414634146,0.10878048780487805,0.3770731707317073,0.32254723775933514,0.55650722984759,0.494973054934063,0.3330489066915419,0.3542646723580917,0.6383107035664277,-0.09076433121019108,0.6476115673182742,0.4183776844880824,state_control,0.6383107035664277,0.55650722984759,True,USA,United States,sovereignty_competition,False,0.4125,-0.053263546798029554
UY,32,2,0.48000000000000004,0.07130434782608695,0.08347826086956521,0.2408695652173913,0.08000000000000002,0.5252173913043479,0.4296131858481097,0.45063602197166813,0.5360167286645493,0.18141490346700712,0.2737641536624532,0.7456294188334492,-0.8392857142857143,0.15726831716293074,0.95,state_control,0.7456294188334492,0.5360167286645493,False,URY,Uruguay,monetary_transmission,False,0.11764705882352941,-0.380859375
ZA,190,3,0.09986504723346828,0.0010796221322537112,0.19838056680161945,0.39662618083670714,0.03643724696356275,0.13144399460188935,0.17149483749613834,0.056066046874920755,0.8753932273514241,0.6496605817686821,0.15191687160739262,0.31428510122799014,-0.7672413793103449,0.20535411451183072,0.35470914127423814,sovereignty_competition,0.8753932273514241,0.6496605817686821,False,ZAF,South Africa,monetary_transmission,False,0.2254335260115607,-0.01644736842105263
